ID_name	MetaPopulation	Population	color	reg.shape	size	fill
I1730	Levant_BA	Levant_BA_South	black	24	1.4	#349e63
I0644	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1152	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1154	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1155	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1160	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1164	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1165	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1166	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1168	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1170	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1171	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1172	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1177	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1178	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1179	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1181	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1182	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1183_d	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1184	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
I1187	Levant_Chl	Levant_Chl	black	23	1.4	#349e63
BAJ001_BAJ001	Levant_N	Levant_Baja	black	22	1.4	#349e63
KFH2_KFH002	Levant_N	Levant_KfarH	black	22	1.4	#349e63
I1707	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1709	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1710	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1727	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I0867	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1414	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1415	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1416	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1700	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1701	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1704	Levant_N	Levant_PPNB	black	22	1.4	#349e63
I1679	Levant_N	Levant_PPNC	black	22	1.4	#349e63
I1699	Levant_N	Levant_PPNC	black	22	1.4	#349e63
I0070	Minoan_Lasithi	Minoan_Lasithi	black	24	1.4	#0073e6
I0071	Minoan_Lasithi	Minoan_Lasithi	black	24	1.4	#0073e6
I0073	Minoan_Lasithi	Minoan_Lasithi	black	24	1.4	#0073e6
I0074	Minoan_Lasithi	Minoan_Lasithi	black	24	1.4	#0073e6
